age,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,salary,country,country_target
31.6 - 46.2,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,9th,Never-married,Sales,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Federal-gov,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,40.2 - 59.8,United-States,>50K,United-States,0
46.2 - 60.8,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Divorced,Machine-op-inspct,Unmarried,Black,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
< 31.6,Local-gov,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
46.2 - 60.8,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,59.8 - 79.4,United-States,>50K,United-States,0
31.6 - 46.2,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
46.2 - 60.8,Private,Assoc-acdm,Divorced,Exec-managerial,Unmarried,White,Female,20.6 - 40.2,England,<=50K,England,1
31.6 - 46.2,Federal-gov,HS-grad,Never-married,Other-service,Own-child,Black,Male,20.6 - 40.2,United-States,<=50K,United-States,0
≥ 75.4,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
31.6 - 46.2,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,59.8 - 79.4,United-States,>50K,United-States,0
46.2 - 60.8,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
< 31.6,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Local-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Bachelors,Never-married,Sales,Other-relative,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
46.2 - 60.8,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40.2 - 59.8,Canada,>50K,Canada,0
< 31.6,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
46.2 - 60.8,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
46.2 - 60.8,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Black,Male,20.6 - 40.2,United-States,>50K,United-States,0
46.2 - 60.8,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Other-service,Own-child,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,59.8 - 79.4,United-States,<=50K,United-States,0
< 31.6,Private,Bachelors,Never-married,Exec-managerial,Own-child,Black,Male,20.6 - 40.2,Germany,<=50K,Germany,0
< 31.6,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
< 31.6,Private,Some-college,Never-married,Other-service,Own-child,Black,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,20.6 - 40.2,United-States,>50K,United-States,0
< 31.6,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
31.6 - 46.2,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Assoc-acdm,Never-married,Sales,Not-in-family,White,Female,59.8 - 79.4,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Assoc-acdm,Divorced,Tech-support,Not-in-family,Black,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,20.6 - 40.2,Iran,>50K,Iran,0
31.6 - 46.2,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,59.8 - 79.4,United-States,<=50K,United-States,0
< 31.6,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Sales,Own-child,White,Male,< 20.6,United-States,<=50K,United-States,0
46.2 - 60.8,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,20.6 - 40.2,United-States,>50K,United-States,0
60.8 - 75.4,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Sales,Own-child,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Other-service,Own-child,White,Male,20.6 - 40.2,Mexico,<=50K,Mexico,0
31.6 - 46.2,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,20.6 - 40.2,United-States,>50K,United-States,0
60.8 - 75.4,Private,Some-college,Never-married,Tech-support,Other-relative,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Transport-moving,Unmarried,Black,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
60.8 - 75.4,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,20.6 - 40.2,Mexico,<=50K,Mexico,0
31.6 - 46.2,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Bachelors,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,20.6 - 40.2,Philippines,<=50K,Philippines,0
< 31.6,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
60.8 - 75.4,Self-emp-not-inc,Some-college,Separated,Sales,Unmarried,Black,Male,< 20.6,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,59.8 - 79.4,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Bachelors,Separated,Other-service,Other-relative,Black,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,20.6 - 40.2,England,<=50K,England,1
31.6 - 46.2,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
31.6 - 46.2,Private,Some-college,Divorced,Other-service,Unmarried,White,Female,20.6 - 40.2,Mexico,<=50K,Mexico,0
31.6 - 46.2,Federal-gov,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,State-gov,Masters,Widowed,Protective-serv,Unmarried,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,< 20.6,United-States,<=50K,United-States,0
60.8 - 75.4,Local-gov,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,< 20.6,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
< 31.6,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
< 31.6,Private,HS-grad,Married-spouse-absent,Sales,Unmarried,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,< 20.6,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,59.8 - 79.4,United-States,<=50K,United-States,0
31.6 - 46.2,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,20.6 - 40.2,United-States,>50K,United-States,0
31.6 - 46.2,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20.6 - 40.2,Mexico,>50K,Mexico,0
31.6 - 46.2,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40.2 - 59.8,United-States,<=50K,United-States,0
46.2 - 60.8,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,< 20.6,United-States,>50K,United-States,0
31.6 - 46.2,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,Black,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,Black,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,Federal-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,5th-6th,Married-civ-spouse,Transport-moving,Other-relative,White,Male,20.6 - 40.2,Mexico,<=50K,Mexico,0
31.6 - 46.2,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Federal-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,40.2 - 59.8,United-States,>50K,United-States,0
31.6 - 46.2,Private,Masters,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
< 31.6,Self-emp-not-inc,HS-grad,Never-married,Sales,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
31.6 - 46.2,Local-gov,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,State-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,11th,Never-married,Sales,Own-child,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Bachelors,Married-civ-spouse,Other-service,Husband,Black,Male,20.6 - 40.2,United-States,>50K,United-States,0
31.6 - 46.2,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,59.8 - 79.4,United-States,<=50K,United-States,0
46.2 - 60.8,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,20.6 - 40.2,United-States,>50K,United-States,0
< 31.6,Private,11th,Never-married,Sales,Own-child,White,Female,< 20.6,United-States,<=50K,United-States,0
31.6 - 46.2,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
31.6 - 46.2,Private,Some-college,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Self-emp-inc,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
31.6 - 46.2,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,Male,59.8 - 79.4,United-States,>50K,United-States,0
46.2 - 60.8,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40.2 - 59.8,Poland,<=50K,Poland,0
